n,k_reject_min,k_accept_max
196,34.0,9.0
197,34.0,9.0
198,35.0,9.0
199,35.0,9.0
200,35.0,9.0
201,35.0,9.0
202,35.0,9.0
203,35.0,9.0
204,35.0,9.0
205,35.0,9.0
206,36.0,10.0
207,36.0,10.0
208,36.0,10.0
209,36.0,10.0
210,36.0,10.0
211,36.0,10.0
212,36.0,10.0
213,37.0,10.0
214,37.0,10.0
215,37.0,10.0
216,37.0,10.0
217,37.0,10.0
218,37.0,10.0
219,37.0,10.0
220,37.0,11.0
221,38.0,11.0
222,38.0,11.0
223,38.0,11.0
224,38.0,11.0
225,38.0,11.0
226,38.0,11.0
227,38.0,11.0
228,39.0,11.0
229,39.0,11.0
230,39.0,11.0
231,39.0,11.0
232,39.0,11.0
233,39.0,11.0
234,39.0,12.0
235,39.0,12.0
236,40.0,12.0
237,40.0,12.0
238,40.0,12.0
239,40.0,12.0
240,40.0,12.0
241,40.0,12.0
242,40.0,12.0
243,40.0,12.0
244,41.0,12.0
245,41.0,12.0
246,41.0,12.0
247,41.0,12.0
248,41.0,13.0
249,41.0,13.0
250,41.0,13.0
251,42.0,13.0
252,42.0,13.0
253,42.0,13.0
254,42.0,13.0
255,42.0,13.0
256,42.0,13.0
257,42.0,13.0
258,42.0,13.0
259,43.0,13.0
260,43.0,13.0
261,43.0,14.0
262,43.0,14.0
263,43.0,14.0
264,43.0,14.0
265,43.0,14.0
266,43.0,14.0
267,44.0,14.0
268,44.0,14.0
269,44.0,14.0
270,44.0,14.0
271,44.0,14.0
272,44.0,14.0
273,44.0,14.0
274,45.0,14.0
275,45.0,15.0
276,45.0,15.0
277,45.0,15.0
278,45.0,15.0
279,45.0,15.0
280,45.0,15.0
281,45.0,15.0
282,46.0,15.0
283,46.0,15.0
284,46.0,15.0
285,46.0,15.0
286,46.0,15.0
287,46.0,15.0
288,46.0,16.0
289,46.0,16.0
290,47.0,16.0
291,47.0,16.0
292,47.0,16.0
293,47.0,16.0
294,47.0,16.0
295,47.0,16.0
296,47.0,16.0
297,47.0,16.0
298,48.0,16.0
299,48.0,16.0
300,48.0,16.0
301,48.0,16.0
302,48.0,17.0
303,48.0,17.0
304,48.0,17.0
305,48.0,17.0
306,49.0,17.0
307,49.0,17.0
308,49.0,17.0
309,49.0,17.0
310,49.0,17.0
311,49.0,17.0
312,49.0,17.0
313,49.0,17.0
314,50.0,17.0
315,50.0,18.0
316,50.0,18.0
317,50.0,18.0
318,50.0,18.0
319,50.0,18.0
320,50.0,18.0
321,51.0,18.0
322,51.0,18.0
323,51.0,18.0
324,51.0,18.0
325,51.0,18.0
326,51.0,18.0
327,51.0,18.0
328,51.0,19.0
329,52.0,19.0
330,52.0,19.0
331,52.0,19.0
332,52.0,19.0
333,52.0,19.0
334,52.0,19.0
335,52.0,19.0
336,52.0,19.0
337,53.0,19.0
338,53.0,19.0
339,53.0,19.0
340,53.0,19.0
341,53.0,19.0
342,53.0,20.0
343,53.0,20.0
344,53.0,20.0
345,54.0,20.0
346,54.0,20.0
347,54.0,20.0
348,54.0,20.0
349,54.0,20.0
350,54.0,20.0
351,54.0,20.0
352,54.0,20.0
353,55.0,20.0
354,55.0,20.0
355,55.0,21.0
356,55.0,21.0
357,55.0,21.0
358,55.0,21.0
359,55.0,21.0
360,55.0,21.0
361,56.0,21.0
362,56.0,21.0
363,56.0,21.0
364,56.0,21.0
365,56.0,21.0
366,56.0,21.0
367,56.0,21.0
368,56.0,22.0
369,57.0,22.0
370,57.0,22.0
371,57.0,22.0
372,57.0,22.0
373,57.0,22.0
374,57.0,22.0
375,57.0,22.0
376,57.0,22.0
377,58.0,22.0
378,58.0,22.0
379,58.0,22.0
380,58.0,22.0
381,58.0,23.0
382,58.0,23.0
383,58.0,23.0
384,58.0,23.0
385,59.0,23.0
386,59.0,23.0
387,59.0,23.0
388,59.0,23.0
389,59.0,23.0
390,59.0,23.0
391,59.0,23.0
392,59.0,23.0
393,60.0,23.0
394,60.0,24.0
395,60.0,24.0
396,60.0,24.0
397,60.0,24.0
398,60.0,24.0
399,60.0,24.0
400,60.0,24.0
401,61.0,24.0
402,61.0,24.0
403,61.0,24.0
404,61.0,24.0
405,61.0,24.0
406,61.0,25.0
407,61.0,25.0
408,61.0,25.0
409,62.0,25.0
410,62.0,25.0
411,62.0,25.0
412,62.0,25.0
413,62.0,25.0
414,62.0,25.0
415,62.0,25.0
416,62.0,25.0
417,63.0,25.0
418,63.0,25.0
419,63.0,26.0
420,63.0,26.0
421,63.0,26.0
422,63.0,26.0
423,63.0,26.0
424,63.0,26.0
425,64.0,26.0
426,64.0,26.0
427,64.0,26.0
428,64.0,26.0
429,64.0,26.0
430,64.0,26.0
431,64.0,26.0
432,64.0,27.0
433,65.0,27.0
434,65.0,27.0
435,65.0,27.0
436,65.0,27.0
437,65.0,27.0
438,65.0,27.0
439,65.0,27.0
440,65.0,27.0
441,66.0,27.0
442,66.0,27.0
443,66.0,27.0
444,66.0,27.0
445,66.0,28.0
446,66.0,28.0
447,66.0,28.0
448,66.0,28.0
449,67.0,28.0
450,67.0,28.0
451,67.0,28.0
452,67.0,28.0
453,67.0,28.0
454,67.0,28.0
455,67.0,28.0
456,67.0,28.0
457,67.0,28.0
458,68.0,29.0
459,68.0,29.0
460,68.0,29.0
461,68.0,29.0
462,68.0,29.0
463,68.0,29.0
464,68.0,29.0
465,68.0,29.0
466,69.0,29.0
467,69.0,29.0
468,69.0,29.0
469,69.0,29.0
470,69.0,30.0
471,69.0,30.0
472,69.0,30.0
473,69.0,30.0
474,70.0,30.0
475,70.0,30.0
476,70.0,30.0
477,70.0,30.0
478,70.0,30.0
479,70.0,30.0
480,70.0,30.0
481,70.0,30.0
482,71.0,30.0
483,71.0,31.0
484,71.0,31.0
485,71.0,31.0
486,71.0,31.0
487,71.0,31.0
488,71.0,31.0
489,71.0,31.0
490,72.0,31.0
491,72.0,31.0
492,72.0,31.0
493,72.0,31.0
494,72.0,31.0
495,72.0,32.0
496,72.0,32.0
497,72.0,32.0
498,73.0,32.0
499,73.0,32.0
500,73.0,32.0
501,73.0,32.0
502,73.0,32.0
503,73.0,32.0
504,73.0,32.0
505,73.0,32.0
506,74.0,32.0
507,74.0,32.0
508,74.0,33.0
509,74.0,33.0
510,74.0,33.0
511,74.0,33.0
512,74.0,33.0
513,74.0,33.0
514,74.0,33.0
515,75.0,33.0
516,75.0,33.0
517,75.0,33.0
518,75.0,33.0
519,75.0,33.0
520,75.0,34.0
521,75.0,34.0
522,75.0,34.0
523,76.0,34.0
524,76.0,34.0
525,76.0,34.0
526,76.0,34.0
527,76.0,34.0
528,76.0,34.0
529,76.0,34.0
530,76.0,34.0
531,77.0,34.0
532,77.0,34.0
533,77.0,35.0
534,77.0,35.0
535,77.0,35.0
536,77.0,35.0
537,77.0,35.0
538,77.0,35.0
539,78.0,35.0
540,78.0,35.0
541,78.0,35.0
542,78.0,35.0
543,78.0,35.0
544,78.0,35.0
545,78.0,36.0
546,78.0,36.0
547,78.0,36.0
548,79.0,36.0
549,79.0,36.0
550,79.0,36.0
551,79.0,36.0
552,79.0,36.0
553,79.0,36.0
554,79.0,36.0
555,79.0,36.0
556,80.0,36.0
557,80.0,36.0
558,80.0,37.0
559,80.0,37.0
560,80.0,37.0
561,80.0,37.0
562,80.0,37.0
563,80.0,37.0
564,81.0,37.0
565,81.0,37.0
566,81.0,37.0
567,81.0,37.0
568,81.0,37.0
569,81.0,37.0
570,81.0,38.0
571,81.0,38.0
572,82.0,38.0
573,82.0,38.0
574,82.0,38.0
575,82.0,38.0
576,82.0,38.0
577,82.0,38.0
578,82.0,38.0
579,82.0,38.0
580,82.0,38.0
581,83.0,38.0
582,83.0,38.0
583,83.0,39.0
584,83.0,39.0
585,83.0,39.0
586,83.0,39.0
587,83.0,39.0
588,83.0,39.0
589,84.0,39.0
590,84.0,39.0
591,84.0,39.0
592,84.0,39.0
593,84.0,39.0
594,84.0,39.0
595,84.0,40.0
596,84.0,40.0
597,85.0,40.0
598,85.0,40.0
599,85.0,40.0
600,85.0,40.0
601,85.0,40.0
602,85.0,40.0
603,85.0,40.0
604,85.0,40.0
605,86.0,40.0
606,86.0,40.0
607,86.0,41.0
608,86.0,41.0
609,86.0,41.0
610,86.0,41.0
611,86.0,41.0
612,86.0,41.0
613,86.0,41.0
614,87.0,41.0
615,87.0,41.0
616,87.0,41.0
617,87.0,41.0
618,87.0,41.0
619,87.0,41.0
620,87.0,42.0
621,87.0,42.0
622,88.0,42.0
623,88.0,42.0
624,88.0,42.0
625,88.0,42.0
626,88.0,42.0
627,88.0,42.0
628,88.0,42.0
629,88.0,42.0
630,89.0,42.0
631,89.0,42.0
632,89.0,43.0
633,89.0,43.0
634,89.0,43.0
635,89.0,43.0
636,89.0,43.0
637,89.0,43.0
638,89.0,43.0
639,90.0,43.0
640,90.0,43.0
641,90.0,43.0
642,90.0,43.0
643,90.0,43.0
644,90.0,44.0
645,90.0,44.0
646,90.0,44.0
647,91.0,44.0
648,91.0,44.0
649,91.0,44.0
650,91.0,44.0
651,91.0,44.0
652,91.0,44.0
653,91.0,44.0
654,91.0,44.0
655,92.0,44.0
656,92.0,45.0
657,92.0,45.0
658,92.0,45.0
659,92.0,45.0
660,92.0,45.0
661,92.0,45.0
662,92.0,45.0
663,92.0,45.0
664,93.0,45.0
665,93.0,45.0
666,93.0,45.0
667,93.0,45.0
668,93.0,46.0
669,93.0,46.0
670,93.0,46.0
671,93.0,46.0
672,94.0,46.0
673,94.0,46.0
674,94.0,46.0
675,94.0,46.0
676,94.0,46.0
677,94.0,46.0
678,94.0,46.0
679,94.0,46.0
680,94.0,46.0
681,95.0,47.0
682,95.0,47.0
683,95.0,47.0
684,95.0,47.0
685,95.0,47.0
686,95.0,47.0
687,95.0,47.0
688,95.0,47.0
689,96.0,47.0
690,96.0,47.0
691,96.0,47.0
692,96.0,47.0
693,96.0,48.0
694,96.0,48.0
695,96.0,48.0
696,96.0,48.0
697,97.0,48.0
698,97.0,48.0
699,97.0,48.0
700,97.0,48.0
701,97.0,48.0
702,97.0,48.0
703,97.0,48.0
704,97.0,48.0
705,97.0,49.0
706,98.0,49.0
707,98.0,49.0
708,98.0,49.0
709,98.0,49.0
710,98.0,49.0
711,98.0,49.0
712,98.0,49.0
713,98.0,49.0
714,99.0,49.0
715,99.0,49.0
716,99.0,49.0
717,99.0,50.0
718,99.0,50.0
719,99.0,50.0
720,99.0,50.0
721,99.0,50.0
722,100.0,50.0
723,100.0,50.0
724,100.0,50.0
725,100.0,50.0
726,100.0,50.0
727,100.0,50.0
728,100.0,50.0
729,100.0,51.0
730,100.0,51.0
731,101.0,51.0
732,101.0,51.0
733,101.0,51.0
734,101.0,51.0
735,101.0,51.0
736,101.0,51.0
737,101.0,51.0
738,101.0,51.0
739,102.0,51.0
740,102.0,51.0
741,102.0,52.0
742,102.0,52.0
743,102.0,52.0
744,102.0,52.0
745,102.0,52.0
746,102.0,52.0
747,102.0,52.0
748,103.0,52.0
749,103.0,52.0
750,103.0,52.0
751,103.0,52.0
752,103.0,52.0
753,103.0,53.0
754,103.0,53.0
755,103.0,53.0
756,104.0,53.0
757,104.0,53.0
758,104.0,53.0
759,104.0,53.0
760,104.0,53.0
761,104.0,53.0
762,104.0,53.0
763,104.0,53.0
764,104.0,53.0
765,105.0,54.0
766,105.0,54.0
767,105.0,54.0
768,105.0,54.0
769,105.0,54.0
770,105.0,54.0
771,105.0,54.0
772,105.0,54.0
773,106.0,54.0
774,106.0,54.0
775,106.0,54.0
776,106.0,54.0
777,106.0,55.0
778,106.0,55.0
779,106.0,55.0
780,106.0,55.0
781,106.0,55.0
782,107.0,55.0
783,107.0,55.0
784,107.0,55.0
785,107.0,55.0
786,107.0,55.0
787,107.0,55.0
788,107.0,55.0
789,107.0,56.0
790,108.0,56.0
791,108.0,56.0
792,108.0,56.0
793,108.0,56.0
794,108.0,56.0
795,108.0,56.0
796,108.0,56.0
797,108.0,56.0
798,109.0,56.0
799,109.0,56.0
800,109.0,56.0
