parameter,coverage,alpha_j,lower,upper,method,domain,case
part_1,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
part_2,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
part_3,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
part_4,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
part_5,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
part_6,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
part_7,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
part_8,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
semi_1,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
semi_2,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
semi_3,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
final,90,0.008333333333333331,0.037201814163155066,0.20465301704801628,clopper_pearson_fixed_n,q3,
part_1,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
part_2,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
part_3,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
part_4,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
part_5,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
part_6,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
part_7,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
part_8,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
semi_1,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
semi_2,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
semi_3,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
final,95,0.00416666666666667,0.033740730985233024,0.21460433585920963,clopper_pearson_fixed_n,q3,
