p1,kappa,plan_hash,p,P_accept,P_reject,ASN,P50,P90,P99,terminal_mass,mass_residual
0.12,1.0,8151ae3d945546ac,0.17,6.561063402949343e-13,0.9999999999993341,401.86613809816913,386,566,766,9.764255744799425e-11,9.769962616701378e-15
0.12,1.0,8151ae3d945546ac,0.18,9.705025259225454e-15,1.000000000000008,344.7126880465525,332,480,638,3.0716524351388316e-14,1.7763568394002505e-14
0.12,1.0,8151ae3d945546ac,0.19,1.5967571487752241e-16,1.000000000000014,301.7962643276943,291,415,545,3.4805842933865295e-18,1.4210854715202004e-14
0.12,1.0,8151ae3d945546ac,0.2,2.8168899321535262e-18,1.0000000000000122,268.3876389532987,260,364,474,1.5153886051497795e-22,1.2212453270876722e-14
0.12,1.0,8151ae3d945546ac,0.21,5.268680181467742e-20,1.0000000000000044,241.6424578450546,235,326,419,2.6795231213526227e-27,4.440892098500626e-15
0.12,1.0,8151ae3d945546ac,0.22,1.0345675768023278e-21,1.0000000000000042,219.74784405903495,215,292,377,2.0175330559304522e-32,4.218847493575595e-15
0.12,1.0,8151ae3d945546ac,0.23,2.1139305555897758e-23,1.0000000000000036,201.49441670346206,197,267,340,6.735091841594262e-38,3.552713678800501e-15
0.12,1.0,8151ae3d945546ac,0.24,4.457873982748034e-25,0.9999999999999992,186.04478634042812,181,245,310,1.0316475025760737e-43,7.771561172376096e-16
0.12,1.0,8151ae3d945546ac,0.25,9.627197975549687e-27,0.9999999999999986,172.80038035003116,169,227,286,7.464804551105799e-50,1.4432899320127035e-15
0.12,1.0,8151ae3d945546ac,0.26,2.1138524595455503e-28,0.9999999999999984,161.32108117909806,156,210,263,2.6149677447925132e-56,1.5543122344752192e-15
0.12,1.0,8151ae3d945546ac,0.27,4.6889969603546175e-30,1.0000000000000007,151.2752432614745,149,197,245,4.5270218800436295e-63,6.661338147750939e-16
0.12,1.0,8151ae3d945546ac,0.28,1.0452155809338533e-31,1.0000000000000004,142.4080417254953,140,183,228,3.9398365642990775e-70,4.440892098500626e-16
0.12,1.0,8151ae3d945546ac,0.29,2.3313136591615686e-33,0.9999999999999917,134.52094322044192,133,173,215,1.747994404791135e-77,8.326672684688674e-15
0.12,1.0,8151ae3d945546ac,0.3,5.185015017022038e-35,0.999999999999992,127.45775999795408,125,163,201,3.9982893529360734e-85,7.993605777301127e-15
0.12,1.0,8151ae3d945546ac,0.31,1.1462818518465176e-36,0.9999999999999944,121.09457888603683,118,154,190,4.756366851865281e-93,5.551115123125783e-15
0.12,1.0,8151ae3d945546ac,0.32,2.510931600403854e-38,0.9999999999999934,115.33213399747427,114,146,180,2.961797873439238e-101,6.5503158452884236e-15
0.12,1.0,8151ae3d945546ac,0.33,5.430503757941365e-40,0.9999999999999927,110.08994233477493,108,141,171,9.696741925926437e-110,7.327471962526033e-15
0.12,1.0,8151ae3d945546ac,0.34,1.1549674686670231e-41,0.9999999999999936,105.30185092251008,104,134,163,1.6732660481419935e-118,6.439293542825908e-15
0.12,1.0,8151ae3d945546ac,0.35000000000000003,2.4049640686059673e-43,0.9999999999999944,100.91273402676741,99,127,155,1.5229080097513673e-127,5.551115123125783e-15
0.12,1.0,8151ae3d945546ac,0.36,4.880041584172425e-45,1.0000000000000002,96.87608765364347,96,123,149,7.30331211618969e-137,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.37,9.603653790746255e-47,0.9999999999999999,93.15228123184794,91,117,142,1.8406641733684386e-146,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.38,1.8242730703491257e-48,1.0,89.70726481721414,89,113,136,2.4279484903064313e-156,0.0
0.12,1.0,8151ae3d945546ac,0.39,3.329605713653827e-50,0.9999999999999994,86.51158362662957,86,108,131,1.6667390955100363e-166,5.551115123125783e-16
0.12,1.0,8151ae3d945546ac,0.4,5.813616809870699e-52,0.9999999999999999,83.53960331858511,82,105,125,5.912587550865387e-177,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.41000000000000003,9.670506639605739e-54,0.9999999999999997,80.7688885866635,80,100,119,1.074636997891704e-187,3.3306690738754696e-16
0.12,1.0,8151ae3d945546ac,0.42,1.5264723004717624e-55,1.0000000000000027,78.17970190327306,77,97,116,9.908078163346517e-199,2.6645352591003757e-15
0.12,1.0,8151ae3d945546ac,0.43,2.2778468859285125e-57,1.000000000000003,75.75460144721426,74,92,112,4.5814629189913775e-210,3.1086244689504383e-15
0.12,1.0,8151ae3d945546ac,0.44,3.2015773696360258e-59,1.000000000000003,73.47812187492447,72,90,108,1.0488587613755123e-221,3.1086244689504383e-15
0.12,1.0,8151ae3d945546ac,0.45,4.2231876334736676e-61,1.0000000000000036,71.33652263593588,70,88,105,1.1719096149435934e-233,3.552713678800501e-15
0.12,1.0,8151ae3d945546ac,0.46,5.209410314229653e-63,1.0000000000000029,69.31758865636296,69,85,100,6.289846263402996e-246,2.886579864025407e-15
0.12,1.0,8151ae3d945546ac,0.47000000000000003,5.98720580233297e-65,1.000000000000004,67.41046883206232,67,82,98,1.5935873146962643e-258,3.9968028886505635e-15
0.12,1.0,8151ae3d945546ac,0.48,6.387412847681523e-67,0.9999999999999997,65.60553939678388,64,80,95,1.8698748128789505e-271,3.3306690738754696e-16
0.12,1.0,8151ae3d945546ac,0.49,6.30107911537729e-69,0.9999999999999996,63.89428181494706,63,78,91,9.952191594580412e-285,4.440892098500626e-16
0.12,1.0,8151ae3d945546ac,0.5,5.724673456730711e-71,1.0,62.26916804104031,61,76,89,2.349001928018812e-298,0.0
0.12,1.0,8151ae3d945546ac,0.51,4.7699107203155116e-73,0.9999999999999998,60.72354930170976,60,73,87,2.39923137219e-312,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.52,3.6289626195542383e-75,1.0000000000000002,59.25154750434505,59,71,83,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.53,2.509331935008195e-77,1.0,57.84795057162434,58,70,81,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.54,1.5693516506529222e-79,0.9999999999999998,56.50811423171822,55,68,80,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.55,8.831512025328823e-82,1.0,55.22787304435847,54,67,78,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.56,4.447758132693553e-84,1.0,54.00346287906577,53,64,76,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.5700000000000001,1.993141603539493e-86,1.0,52.83145597255789,52,63,73,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.58,7.899022743439735e-89,1.0,51.70870841595038,51,62,72,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.59,2.7505957315880747e-91,1.0,50.63231877339772,50,60,70,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.6,8.357833679763945e-94,1.0,49.599595747933016,50,59,69,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.61,2.1997092884084737e-96,1.0,48.60803251425873,49,58,67,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.62,4.975144102335833e-99,1.0,47.6552855452093,46,57,64,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.63,9.587966996891739e-102,1.0,46.73915638184125,46,55,63,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.64,1.5601189581522045e-104,1.0000000000000004,45.857575675254246,45,54,62,0.0,4.440892098500626e-16
0.12,1.0,8151ae3d945546ac,0.65,2.1223337501865877e-107,0.9999999999999999,45.008589755569766,44,53,61,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.66,2.388114535448205e-110,1.0,44.190350742555545,44,52,60,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.67,2.1970757611919316e-113,0.9999999999999998,43.40111160797156,43,51,59,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.68,1.631915277920594e-116,1.0,42.63922749342877,42,50,57,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.6900000000000001,9.65205449841511e-120,1.0,41.90316392948195,42,49,55,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.7000000000000001,4.477573029146986e-123,1.0,41.191511453091906,41,48,54,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.71,1.60229332952066e-126,1.0,40.50300465969163,41,46,53,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.72,4.342545041924969e-130,1.0,39.83654223025656,40,45,52,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.73,8.734064808547731e-134,1.0,39.191203276392734,39,45,51,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.74,1.274483034644198e-137,1.0,38.566254773241106,39,44,50,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.75,1.3156038808137715e-141,0.9999999999999999,37.961145146755996,37,43,50,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.76,9.338578770589192e-146,0.9999999999999998,37.37548034991115,37,43,49,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.77,4.4149567353069284e-150,0.9999999999999999,36.808980917929446,36,42,48,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.78,1.3407330497565075e-154,1.0000000000000002,36.26142126295459,36,41,46,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.79,2.509681626840779e-159,1.0000000000000004,35.73255542819321,35,41,45,0.0,4.440892098500626e-16
0.12,1.0,8151ae3d945546ac,0.8,2.762021893857272e-164,0.9999999999999999,35.22203616398626,35,40,44,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.81,1.6923197653467434e-169,0.9999999999999999,34.7293360199805,34,40,44,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.8200000000000001,5.418237364584183e-175,0.9999999999999998,34.25367978610414,34,39,43,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.8300000000000001,8.41601386701563e-181,1.0,33.79399687269463,33,37,42,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.84,5.809150198908881e-187,0.9999999999999999,33.34890015785427,33,37,41,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.85,1.6046368359511271e-193,0.9999999999999996,32.916694772302634,33,36,41,0.0,4.440892098500626e-16
0.12,1.0,8151ae3d945546ac,0.86,1.5630513531116164e-200,0.9999999999999997,32.49541679911902,32,36,40,0.0,3.3306690738754696e-16
0.12,1.0,8151ae3d945546ac,0.87,4.599934545725763e-208,1.0,32.0828986680933,32,35,39,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.88,3.3761009214403785e-216,0.9999999999999999,31.676855924139034,32,35,39,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.89,4.851658966955905e-225,0.9999999999999999,31.274989801564423,31,34,37,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.9,1.0000021060023259e-234,1.0000000000000004,30.875102222737727,31,34,36,0.0,4.440892098500626e-16
0.12,1.0,8151ae3d945546ac,0.91,1.962219588530066e-245,0.9999999999999998,30.475224753303603,31,33,36,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.92,2.1040551205614097e-257,0.9999999999999999,30.07377060899753,30,33,35,0.0,1.1102230246251565e-16
0.12,1.0,8151ae3d945546ac,0.93,5.661629139143016e-271,1.0,29.66972855935202,30,32,34,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.9400000000000001,1.2229046765986359e-286,1.0,29.262928752697796,30,32,34,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.9500000000000001,3.622271662983891e-305,0.9999999999999996,28.854422257365925,28,31,33,0.0,4.440892098500626e-16
0.12,1.0,8151ae3d945546ac,0.96,0.0,1.0,28.44702790805737,28,31,32,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.97,0.0,1.0000000000000002,28.04611199217307,28,30,32,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.98,0.0,0.9999999999999998,27.660679603466228,27,30,31,0.0,2.220446049250313e-16
0.12,1.0,8151ae3d945546ac,0.99,0.0,1.0,27.304873487658487,27,28,30,0.0,0.0
0.12,1.0,8151ae3d945546ac,1.0,0.0,1.0,27.0,27,27,27,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.0,1.0,0.0,145.0,145,145,145,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.01,0.999999999999999,2.6678414344221115e-30,159.5853872347197,154,173,200,1.7088236795673295e-149,9.992007221626409e-16
0.12,1.25,55c9f5980dfe3888,0.02,0.9999999999999966,6.457811762859427e-23,177.60609568937,173,209,236,2.819594109347044e-89,3.4416913763379853e-15
0.12,1.25,55c9f5980dfe3888,0.03,0.9999999999999944,2.553547097054005e-18,199.90838477282412,200,236,291,9.478774255599656e-58,5.551115123125783e-15
0.12,1.25,55c9f5980dfe3888,0.04,0.9999999999999856,7.061938059737957e-15,228.51312582705958,218,282,355,5.131965041067928e-38,7.327471962526033e-15
0.12,1.25,55c9f5980dfe3888,0.05,0.9999999999954489,4.5392979191775095e-12,266.72924641538634,255,346,446,8.873635955374e-25,1.1879386363489175e-14
0.12,1.25,55c9f5980dfe3888,0.06,0.9999999988493713,1.150610208627523e-09,320.3336258638267,309,437,583,1.129169657576273e-15,1.8540724511240114e-14
0.12,1.25,55c9f5980dfe3888,0.07,0.9999998472373893,1.5276258858896087e-07,400.92512004288045,382,573,801,1.9483985598776834e-09,2.2093438190040615e-14
0.12,1.25,55c9f5980dfe3888,0.08,0.9999872857423828,1.2714257638694135e-05,535.7365949133278,491,810,1221,2.651026612216291e-05,2.1538326677728037e-14
0.12,1.25,55c9f5980dfe3888,0.09,0.9990281352754082,0.0009718647246142616,802.6247798783788,710,1339,2196,0.009201330054094623,2.2426505097428162e-14
0.12,1.25,55c9f5980dfe3888,0.1,0.95061610647006,0.04938389352997641,1333.528193131705,1239,2227,2227,0.19289111808417797,3.6415315207705135e-14
0.12,1.25,55c9f5980dfe3888,0.10973373522110165,0.5763255441306884,0.4236744558693352,1705.4091983778228,2086,2227,2227,0.46869259109739453,2.353672812205332e-14
0.12,1.25,55c9f5980dfe3888,0.11,0.5609024161115366,0.4390975838884872,1705.077240714011,2084,2227,2227,0.4685481028433136,2.375877272697835e-14
0.12,1.25,55c9f5980dfe3888,0.12,0.09991120704973844,0.9000887929502626,1321.2981143538602,1231,2227,2227,0.19511481816949575,8.881784197001252e-16
0.12,1.25,55c9f5980dfe3888,0.13,0.004548300867470984,0.995451699132529,822.9354606711267,721,1448,2227,0.016209477139319497,1.1102230246251565e-16
0.12,1.25,55c9f5980dfe3888,0.14,0.00012153931887265432,0.9998784606811275,557.6231489428849,503,913,1440,0.00029114808374442424,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.15,6.0559091959935175e-06,0.9999939440907926,419.3585977519759,385,659,994,1.2432071389997967e-06,1.1435297153639112e-14
0.12,1.25,55c9f5980dfe3888,0.16,3.929294502030346e-07,0.99999960707054,336.0181344692648,313,513,749,1.4014965062541247e-09,9.769962616701378e-15
0.12,1.25,55c9f5980dfe3888,0.17,2.754419027330142e-08,0.9999999724558035,280.33823683350437,264,419,596,4.612087243195255e-13,6.217248937900877e-15
0.12,1.25,55c9f5980dfe3888,0.18,2.050817575171888e-09,0.9999999979491947,240.50535834051752,228,353,494,4.8475287789011394e-17,1.2212453270876722e-14
0.12,1.25,55c9f5980dfe3888,0.19,1.606953170132298e-10,0.9999999998393152,210.59196499581984,201,304,421,1.7595887405198176e-21,1.0436096431476471e-14
0.12,1.25,55c9f5980dfe3888,0.2,1.3144707225650172e-11,0.9999999999868663,187.29965932531968,177,267,366,2.3588963259407586e-26,1.0880185641326534e-14
0.12,1.25,55c9f5980dfe3888,0.21,1.1143908335311522e-12,0.9999999999988879,168.64738975948418,163,239,322,1.236759576201248e-31,2.220446049250313e-15
0.12,1.25,55c9f5980dfe3888,0.22,9.729047706959136e-14,0.9999999999999056,153.37309485996258,147,216,288,2.6626474375763086e-37,2.886579864025407e-15
0.12,1.25,55c9f5980dfe3888,0.23,8.697664325829162e-15,0.9999999999999939,140.63460263337402,136,195,259,2.4534971559986593e-43,2.6645352591003757e-15
0.12,1.25,55c9f5980dfe3888,0.24,7.924185395592699e-16,0.9999999999999993,129.84887624740423,126,180,238,1.0022051542813011e-49,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.25,7.328375183507534e-17,0.9999999999999989,120.5999663111825,117,166,218,1.869485908449885e-56,9.992007221626409e-16
0.12,1.25,55c9f5980dfe3888,0.26,6.857177339364583e-18,0.9999999999999977,112.58326691209004,109,155,201,1.6327899390160325e-63,2.3314683517128287e-15
0.12,1.25,55c9f5980dfe3888,0.27,6.473616901305807e-19,0.9999999999999988,105.57025353562709,102,144,185,6.817761087788984e-71,1.2212453270876722e-15
0.12,1.25,55c9f5980dfe3888,0.28,6.14987796261936e-20,0.9999999999999986,99.38556303154931,95,135,174,1.3846680318147903e-78,1.4432899320127035e-15
0.12,1.25,55c9f5980dfe3888,0.29,5.863181137893045e-21,0.9999999999999959,93.89188140892456,91,127,163,1.3871969044718764e-86,4.107825191113079e-15
0.12,1.25,55c9f5980dfe3888,0.3,5.59367706649834e-22,0.9999999999999947,88.97987079679208,86,119,154,6.932191849153715e-95,5.329070518200751e-15
0.12,1.25,55c9f5980dfe3888,0.31,5.323787303978924e-23,0.9999999999999948,84.56133985953126,83,112,145,1.7429013960057727e-103,5.218048215738236e-15
0.12,1.25,55c9f5980dfe3888,0.32,5.0385129250123525e-24,0.9999999999999949,80.56448222639547,79,107,137,2.218476428912197e-112,5.10702591327572e-15
0.12,1.25,55c9f5980dfe3888,0.33,4.7262828844982805e-25,0.999999999999995,76.9304328119458,75,102,129,1.4354596733011406e-121,4.9960036108132044e-15
0.12,1.25,55c9f5980dfe3888,0.34,4.3799530443860274e-26,0.9999999999999959,73.61067948911051,72,97,122,4.731398596992775e-131,4.107825191113079e-15
0.12,1.25,55c9f5980dfe3888,0.35000000000000003,3.997607688676425e-27,0.9999999999999958,70.5650518410616,69,93,117,7.946008384626468e-141,4.218847493575595e-15
0.12,1.25,55c9f5980dfe3888,0.36,3.5828780226713934e-28,0.9999999999999999,67.76012042861903,66,89,111,6.788973812932912e-151,1.1102230246251565e-16
0.12,1.25,55c9f5980dfe3888,0.37,3.144592701329119e-29,1.0,65.16790507271581,64,85,107,2.9414531398432664e-161,0.0
0.12,1.25,55c9f5980dfe3888,0.38,2.695714303983978e-30,1.0,62.76482758765865,62,82,102,6.431759179071163e-172,0.0
0.12,1.25,55c9f5980dfe3888,0.39,2.2516730016980147e-31,0.9999999999999994,60.53086487465534,58,79,98,7.052382396119027e-183,5.551115123125783e-16
0.12,1.25,55c9f5980dfe3888,0.4,1.8283497257502847e-32,0.9999999999999994,58.44886925168641,57,75,94,3.8471850523054036e-194,5.551115123125783e-16
0.12,1.25,55c9f5980dfe3888,0.41000000000000003,1.4400488665810113e-33,1.0000000000000002,56.50402858803236,55,73,91,1.0343245465194092e-205,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.42,1.09780942850369e-34,1.0000000000000024,54.683441924293334,54,71,86,1.3555859297009007e-217,2.4424906541753444e-15
0.12,1.25,55c9f5980dfe3888,0.43,8.083296269779062e-36,1.0000000000000027,52.97578848404822,52,67,84,8.553520859656429e-230,2.6645352591003757e-15
0.12,1.25,55c9f5980dfe3888,0.44,5.736429052558166e-37,1.0000000000000024,51.3710702492621,49,65,81,2.562325866187282e-242,2.4424906541753444e-15
0.12,1.25,55c9f5980dfe3888,0.45,3.9152089849711146e-38,1.0000000000000018,49.860410917786766,48,64,79,3.5878847263682486e-255,1.7763568394002505e-15
0.12,1.25,55c9f5980dfe3888,0.46,2.5643462096350716e-39,1.0000000000000029,48.43589703396521,47,62,75,2.3083460067467796e-268,2.886579864025407e-15
0.12,1.25,55c9f5980dfe3888,0.47000000000000003,1.6081509981261897e-40,1.0000000000000022,47.09045013325511,46,60,73,6.6964093688715025e-282,2.220446049250313e-15
0.12,1.25,55c9f5980dfe3888,0.48,9.633651494376121e-42,0.9999999999999994,45.817721587119294,45,57,71,8.580838690780516e-296,5.551115123125783e-16
0.12,1.25,55c9f5980dfe3888,0.49,5.4993881482821964e-43,0.9999999999999998,44.612004262412555,44,56,69,4.7494698187154e-310,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.5,2.98399148700628e-44,1.0,43.468157015832176,43,55,66,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.51,1.5349401578829205e-45,0.9999999999999996,42.381539425541675,42,54,65,0.0,4.440892098500626e-16
0.12,1.25,55c9f5980dfe3888,0.52,7.46436392398564e-47,0.9999999999999996,41.34795508487231,40,52,63,0.0,4.440892098500626e-16
0.12,1.25,55c9f5980dfe3888,0.53,3.4216819190964806e-48,0.9999999999999998,40.363602345105534,39,51,62,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.54,1.4740284676964754e-49,0.9999999999999998,39.42503169597924,38,49,60,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.55,5.948337000811488e-51,1.0,38.52910909871722,38,48,57,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.56,2.2409712453919663e-52,1.0,37.67298460114963,37,47,56,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.5700000000000001,7.853650982474897e-54,1.0,36.854065513611346,36,46,55,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.58,2.5506597728445428e-55,0.9999999999999998,36.06999334150435,36,45,54,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.59,7.645886784893999e-57,1.0000000000000002,35.318623583798036,35,44,53,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.6,2.1063623322247965e-58,1.0000000000000002,34.59800744300039,35,43,51,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.61,5.308574198818804e-60,0.9999999999999997,33.90637447741743,34,42,49,0.0,3.3306690738754696e-16
0.12,1.25,55c9f5980dfe3888,0.62,1.2179572507402743e-61,1.0000000000000002,33.242115284490936,33,40,48,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.63,2.530516803928877e-63,1.0000000000000004,32.60376345175732,31,39,47,0.0,4.440892098500626e-16
0.12,1.25,55c9f5980dfe3888,0.64,4.734223503074994e-65,1.0,31.98997625549632,31,38,46,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.65,7.926742324101764e-67,0.9999999999999994,31.39951391765002,30,38,45,0.0,5.551115123125783e-16
0.12,1.25,55c9f5980dfe3888,0.66,1.1799733681207373e-68,1.0,30.831217624032753,30,37,44,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.67,1.5504570836821294e-70,0.9999999999999996,30.283986921329465,30,37,43,0.0,4.440892098500626e-16
0.12,1.25,55c9f5980dfe3888,0.68,1.7842595585111014e-72,0.9999999999999997,29.756757496636876,29,36,42,0.0,3.3306690738754696e-16
0.12,1.25,55c9f5980dfe3888,0.6900000000000001,1.7830081537072615e-74,0.9999999999999998,29.24848064768126,29,35,40,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.7000000000000001,1.5327636437101142e-76,0.9999999999999998,28.758105925627895,28,35,40,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.71,1.1218815188412016e-78,0.9999999999999998,28.284568439997823,28,34,39,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.72,6.912384754343275e-81,0.9999999999999998,27.826782140739823,27,33,38,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.73,3.540335005752171e-83,1.0000000000000004,27.383640043416136,27,33,38,0.0,4.440892098500626e-16
0.12,1.25,55c9f5980dfe3888,0.74,1.4863076485654464e-85,0.9999999999999999,26.95402187047072,27,31,37,0.0,1.1102230246251565e-16
0.12,1.25,55c9f5980dfe3888,0.75,5.035261065897497e-88,1.0000000000000002,26.53680899487963,26,31,36,0.0,2.220446049250313e-16
0.12,1.25,55c9f5980dfe3888,0.76,1.3525611152029448e-90,1.0,26.13090595488406,26,30,36,0.0,0.0
0.12,1.25,55c9f5980dfe3888,0.77,2.8243334129825137e-93,0.9999999999999997,25.73526722634371,26,30,35,0.0,3.3306690738754696e-16
0.12,1.25,55c9f5980dfe3888,0.78,4.4828919592372745e-96,1.0000000000000004,25.348927453016866,25,29,34,0.0,4.440892098500626e-16
0.12,1.25,55c9f5980dfe3888,0.79,5.272127492614465e-99,1.0000000000000004,24.971032990994786,25,29,34,0.0,4.440892098500626e-16
0.12,1.25,55c9f5980dfe3888,0.8,4.461473745286504e-102,0.9999999999999999,24.600872447453106,25,28,33,0.0,1.1102230246251565e-16
0.12,1.25,55c9f5980dfe3888,0.81,2.6263872943192663e-105,0.9999999999999999,24.237903888566464,24,28,31,0.0,1.1102230246251565e-16
