p1,kappa,plan_hash,n,k_accept_max,k_reject_min,terminal
0.12,1.0,8151ae3d945546ac,86,,34,False
0.12,1.0,8151ae3d945546ac,87,,34,False
0.12,1.0,8151ae3d945546ac,88,,34,False
0.12,1.0,8151ae3d945546ac,89,,34,False
0.12,1.0,8151ae3d945546ac,90,,34,False
0.12,1.0,8151ae3d945546ac,91,,34,False
0.12,1.0,8151ae3d945546ac,92,,34,False
0.12,1.0,8151ae3d945546ac,93,,35,False
0.12,1.0,8151ae3d945546ac,94,,35,False
0.12,1.0,8151ae3d945546ac,95,,35,False
0.12,1.0,8151ae3d945546ac,96,,35,False
0.12,1.0,8151ae3d945546ac,97,,35,False
0.12,1.0,8151ae3d945546ac,98,,35,False
0.12,1.0,8151ae3d945546ac,99,,35,False
0.12,1.0,8151ae3d945546ac,100,,35,False
0.12,1.0,8151ae3d945546ac,101,,35,False
0.12,1.0,8151ae3d945546ac,102,,36,False
0.12,1.0,8151ae3d945546ac,103,,36,False
0.12,1.0,8151ae3d945546ac,104,,36,False
0.12,1.0,8151ae3d945546ac,105,,36,False
0.12,1.0,8151ae3d945546ac,106,,36,False
0.12,1.0,8151ae3d945546ac,107,,36,False
0.12,1.0,8151ae3d945546ac,108,,36,False
0.12,1.0,8151ae3d945546ac,109,,36,False
0.12,1.0,8151ae3d945546ac,110,,36,False
0.12,1.0,8151ae3d945546ac,111,,37,False
0.12,1.0,8151ae3d945546ac,112,,37,False
0.12,1.0,8151ae3d945546ac,113,,37,False
0.12,1.0,8151ae3d945546ac,114,,37,False
0.12,1.0,8151ae3d945546ac,115,,37,False
0.12,1.0,8151ae3d945546ac,116,,37,False
0.12,1.0,8151ae3d945546ac,117,,37,False
0.12,1.0,8151ae3d945546ac,118,,37,False
0.12,1.0,8151ae3d945546ac,119,,37,False
0.12,1.0,8151ae3d945546ac,120,,38,False
0.12,1.0,8151ae3d945546ac,121,,38,False
0.12,1.0,8151ae3d945546ac,122,,38,False
0.12,1.0,8151ae3d945546ac,123,,38,False
0.12,1.0,8151ae3d945546ac,124,,38,False
0.12,1.0,8151ae3d945546ac,125,,38,False
0.12,1.0,8151ae3d945546ac,126,,38,False
0.12,1.0,8151ae3d945546ac,127,,38,False
0.12,1.0,8151ae3d945546ac,128,,38,False
0.12,1.0,8151ae3d945546ac,129,,39,False
0.12,1.0,8151ae3d945546ac,130,,39,False
0.12,1.0,8151ae3d945546ac,131,,39,False
0.12,1.0,8151ae3d945546ac,132,,39,False
0.12,1.0,8151ae3d945546ac,133,,39,False
0.12,1.0,8151ae3d945546ac,134,,39,False
0.12,1.0,8151ae3d945546ac,135,,39,False
0.12,1.0,8151ae3d945546ac,136,,39,False
0.12,1.0,8151ae3d945546ac,137,,39,False
0.12,1.0,8151ae3d945546ac,138,,40,False
0.12,1.0,8151ae3d945546ac,139,,40,False
0.12,1.0,8151ae3d945546ac,140,,40,False
0.12,1.0,8151ae3d945546ac,141,,40,False
0.12,1.0,8151ae3d945546ac,142,,40,False
0.12,1.0,8151ae3d945546ac,143,,40,False
0.12,1.0,8151ae3d945546ac,144,,40,False
0.12,1.0,8151ae3d945546ac,145,,40,False
0.12,1.0,8151ae3d945546ac,146,,40,False
0.12,1.0,8151ae3d945546ac,147,,41,False
0.12,1.0,8151ae3d945546ac,148,,41,False
0.12,1.0,8151ae3d945546ac,149,,41,False
0.12,1.0,8151ae3d945546ac,150,,41,False
0.12,1.0,8151ae3d945546ac,151,,41,False
0.12,1.0,8151ae3d945546ac,152,,41,False
0.12,1.0,8151ae3d945546ac,153,,41,False
0.12,1.0,8151ae3d945546ac,154,,41,False
0.12,1.0,8151ae3d945546ac,155,,41,False
0.12,1.0,8151ae3d945546ac,156,,41,False
0.12,1.0,8151ae3d945546ac,157,,42,False
0.12,1.0,8151ae3d945546ac,158,,42,False
0.12,1.0,8151ae3d945546ac,159,,42,False
0.12,1.0,8151ae3d945546ac,160,,42,False
0.12,1.0,8151ae3d945546ac,161,,42,False
0.12,1.0,8151ae3d945546ac,162,,42,False
0.12,1.0,8151ae3d945546ac,163,,42,False
0.12,1.0,8151ae3d945546ac,164,,42,False
0.12,1.0,8151ae3d945546ac,165,,42,False
0.12,1.0,8151ae3d945546ac,166,,43,False
0.12,1.0,8151ae3d945546ac,167,,43,False
0.12,1.0,8151ae3d945546ac,168,,43,False
0.12,1.0,8151ae3d945546ac,169,,43,False
0.12,1.0,8151ae3d945546ac,170,,43,False
0.12,1.0,8151ae3d945546ac,171,,43,False
0.12,1.0,8151ae3d945546ac,172,,43,False
0.12,1.0,8151ae3d945546ac,173,,43,False
0.12,1.0,8151ae3d945546ac,174,,43,False
0.12,1.0,8151ae3d945546ac,175,,44,False
0.12,1.0,8151ae3d945546ac,176,,44,False
0.12,1.0,8151ae3d945546ac,177,,44,False
0.12,1.0,8151ae3d945546ac,178,,44,False
0.12,1.0,8151ae3d945546ac,179,,44,False
0.12,1.0,8151ae3d945546ac,180,,44,False
0.12,1.0,8151ae3d945546ac,181,,44,False
0.12,1.0,8151ae3d945546ac,182,,44,False
0.12,1.0,8151ae3d945546ac,183,,44,False
0.12,1.0,8151ae3d945546ac,184,,45,False
0.12,1.0,8151ae3d945546ac,185,,45,False
0.12,1.0,8151ae3d945546ac,186,,45,False
0.12,1.0,8151ae3d945546ac,187,,45,False
0.12,1.0,8151ae3d945546ac,188,,45,False
0.12,1.0,8151ae3d945546ac,189,,45,False
0.12,1.0,8151ae3d945546ac,190,,45,False
0.12,1.0,8151ae3d945546ac,191,,45,False
0.12,1.0,8151ae3d945546ac,192,,45,False
0.12,1.0,8151ae3d945546ac,193,,46,False
0.12,1.0,8151ae3d945546ac,194,,46,False
0.12,1.0,8151ae3d945546ac,195,,46,False
0.12,1.0,8151ae3d945546ac,196,,46,False
0.12,1.0,8151ae3d945546ac,197,,46,False
0.12,1.0,8151ae3d945546ac,198,,46,False
0.12,1.0,8151ae3d945546ac,199,,46,False
0.12,1.0,8151ae3d945546ac,200,,46,False
0.12,1.0,8151ae3d945546ac,201,,46,False
0.12,1.0,8151ae3d945546ac,202,,47,False
0.12,1.0,8151ae3d945546ac,203,,47,False
0.12,1.0,8151ae3d945546ac,204,,47,False
0.12,1.0,8151ae3d945546ac,205,,47,False
0.12,1.0,8151ae3d945546ac,206,,47,False
0.12,1.0,8151ae3d945546ac,207,,47,False
0.12,1.0,8151ae3d945546ac,208,,47,False
0.12,1.0,8151ae3d945546ac,209,,47,False
0.12,1.0,8151ae3d945546ac,210,,47,False
0.12,1.0,8151ae3d945546ac,211,,48,False
0.12,1.0,8151ae3d945546ac,212,,48,False
0.12,1.0,8151ae3d945546ac,213,,48,False
0.12,1.0,8151ae3d945546ac,214,,48,False
0.12,1.0,8151ae3d945546ac,215,,48,False
0.12,1.0,8151ae3d945546ac,216,,48,False
0.12,1.0,8151ae3d945546ac,217,,48,False
0.12,1.0,8151ae3d945546ac,218,,48,False
0.12,1.0,8151ae3d945546ac,219,,48,False
0.12,1.0,8151ae3d945546ac,220,,49,False
0.12,1.0,8151ae3d945546ac,221,,49,False
0.12,1.0,8151ae3d945546ac,222,,49,False
0.12,1.0,8151ae3d945546ac,223,,49,False
0.12,1.0,8151ae3d945546ac,224,,49,False
0.12,1.0,8151ae3d945546ac,225,,49,False
0.12,1.0,8151ae3d945546ac,226,,49,False
0.12,1.0,8151ae3d945546ac,227,,49,False
0.12,1.0,8151ae3d945546ac,228,,49,False
0.12,1.0,8151ae3d945546ac,229,,50,False
0.12,1.0,8151ae3d945546ac,230,,50,False
0.12,1.0,8151ae3d945546ac,231,,50,False
0.12,1.0,8151ae3d945546ac,232,,50,False
0.12,1.0,8151ae3d945546ac,233,,50,False
0.12,1.0,8151ae3d945546ac,234,0,50,False
0.12,1.0,8151ae3d945546ac,235,0,50,False
0.12,1.0,8151ae3d945546ac,236,0,50,False
0.12,1.0,8151ae3d945546ac,237,0,50,False
0.12,1.0,8151ae3d945546ac,238,0,50,False
0.12,1.0,8151ae3d945546ac,239,0,51,False
0.12,1.0,8151ae3d945546ac,240,0,51,False
0.12,1.0,8151ae3d945546ac,241,0,51,False
0.12,1.0,8151ae3d945546ac,242,0,51,False
0.12,1.0,8151ae3d945546ac,243,1,51,False
0.12,1.0,8151ae3d945546ac,244,1,51,False
0.12,1.0,8151ae3d945546ac,245,1,51,False
0.12,1.0,8151ae3d945546ac,246,1,51,False
0.12,1.0,8151ae3d945546ac,247,1,51,False
0.12,1.0,8151ae3d945546ac,248,1,52,False
0.12,1.0,8151ae3d945546ac,249,1,52,False
0.12,1.0,8151ae3d945546ac,250,1,52,False
0.12,1.0,8151ae3d945546ac,251,1,52,False
0.12,1.0,8151ae3d945546ac,252,2,52,False
0.12,1.0,8151ae3d945546ac,253,2,52,False
0.12,1.0,8151ae3d945546ac,254,2,52,False
0.12,1.0,8151ae3d945546ac,255,2,52,False
0.12,1.0,8151ae3d945546ac,256,2,52,False
0.12,1.0,8151ae3d945546ac,257,2,53,False
0.12,1.0,8151ae3d945546ac,258,2,53,False
0.12,1.0,8151ae3d945546ac,259,2,53,False
0.12,1.0,8151ae3d945546ac,260,2,53,False
0.12,1.0,8151ae3d945546ac,261,2,53,False
0.12,1.0,8151ae3d945546ac,262,3,53,False
0.12,1.0,8151ae3d945546ac,263,3,53,False
0.12,1.0,8151ae3d945546ac,264,3,53,False
0.12,1.0,8151ae3d945546ac,265,3,53,False
0.12,1.0,8151ae3d945546ac,266,3,54,False
0.12,1.0,8151ae3d945546ac,267,3,54,False
0.12,1.0,8151ae3d945546ac,268,3,54,False
0.12,1.0,8151ae3d945546ac,269,3,54,False
0.12,1.0,8151ae3d945546ac,270,3,54,False
0.12,1.0,8151ae3d945546ac,271,4,54,False
0.12,1.0,8151ae3d945546ac,272,4,54,False
0.12,1.0,8151ae3d945546ac,273,4,54,False
0.12,1.0,8151ae3d945546ac,274,4,54,False
0.12,1.0,8151ae3d945546ac,275,4,55,False
0.12,1.0,8151ae3d945546ac,276,4,55,False
0.12,1.0,8151ae3d945546ac,277,4,55,False
0.12,1.0,8151ae3d945546ac,278,4,55,False
0.12,1.0,8151ae3d945546ac,279,4,55,False
0.12,1.0,8151ae3d945546ac,280,5,55,False
0.12,1.0,8151ae3d945546ac,281,5,55,False
0.12,1.0,8151ae3d945546ac,282,5,55,False
0.12,1.0,8151ae3d945546ac,283,5,55,False
0.12,1.0,8151ae3d945546ac,284,5,56,False
0.12,1.0,8151ae3d945546ac,285,5,56,False
0.12,1.0,8151ae3d945546ac,286,5,56,False
0.12,1.0,8151ae3d945546ac,287,5,56,False
0.12,1.0,8151ae3d945546ac,288,5,56,False
0.12,1.0,8151ae3d945546ac,289,6,56,False
0.12,1.0,8151ae3d945546ac,290,6,56,False
0.12,1.0,8151ae3d945546ac,291,6,56,False
0.12,1.0,8151ae3d945546ac,292,6,56,False
0.12,1.0,8151ae3d945546ac,293,6,57,False
0.12,1.0,8151ae3d945546ac,294,6,57,False
0.12,1.0,8151ae3d945546ac,295,6,57,False
0.12,1.0,8151ae3d945546ac,296,6,57,False
0.12,1.0,8151ae3d945546ac,297,6,57,False
0.12,1.0,8151ae3d945546ac,298,7,57,False
0.12,1.0,8151ae3d945546ac,299,7,57,False
0.12,1.0,8151ae3d945546ac,300,7,57,False
0.12,1.0,8151ae3d945546ac,301,7,57,False
0.12,1.0,8151ae3d945546ac,302,7,58,False
0.12,1.0,8151ae3d945546ac,303,7,58,False
0.12,1.0,8151ae3d945546ac,304,7,58,False
0.12,1.0,8151ae3d945546ac,305,7,58,False
0.12,1.0,8151ae3d945546ac,306,7,58,False
0.12,1.0,8151ae3d945546ac,307,8,58,False
0.12,1.0,8151ae3d945546ac,308,8,58,False
0.12,1.0,8151ae3d945546ac,309,8,58,False
0.12,1.0,8151ae3d945546ac,310,8,58,False
0.12,1.0,8151ae3d945546ac,311,8,59,False
0.12,1.0,8151ae3d945546ac,312,8,59,False
0.12,1.0,8151ae3d945546ac,313,8,59,False
0.12,1.0,8151ae3d945546ac,314,8,59,False
0.12,1.0,8151ae3d945546ac,315,8,59,False
0.12,1.0,8151ae3d945546ac,316,9,59,False
0.12,1.0,8151ae3d945546ac,317,9,59,False
0.12,1.0,8151ae3d945546ac,318,9,59,False
0.12,1.0,8151ae3d945546ac,319,9,59,False
0.12,1.0,8151ae3d945546ac,320,9,59,False
0.12,1.0,8151ae3d945546ac,321,9,60,False
0.12,1.0,8151ae3d945546ac,322,9,60,False
0.12,1.0,8151ae3d945546ac,323,9,60,False
0.12,1.0,8151ae3d945546ac,324,9,60,False
0.12,1.0,8151ae3d945546ac,325,10,60,False
0.12,1.0,8151ae3d945546ac,326,10,60,False
0.12,1.0,8151ae3d945546ac,327,10,60,False
0.12,1.0,8151ae3d945546ac,328,10,60,False
0.12,1.0,8151ae3d945546ac,329,10,60,False
0.12,1.0,8151ae3d945546ac,330,10,61,False
0.12,1.0,8151ae3d945546ac,331,10,61,False
0.12,1.0,8151ae3d945546ac,332,10,61,False
0.12,1.0,8151ae3d945546ac,333,10,61,False
0.12,1.0,8151ae3d945546ac,334,11,61,False
0.12,1.0,8151ae3d945546ac,335,11,61,False
0.12,1.0,8151ae3d945546ac,336,11,61,False
0.12,1.0,8151ae3d945546ac,337,11,61,False
0.12,1.0,8151ae3d945546ac,338,11,61,False
0.12,1.0,8151ae3d945546ac,339,11,62,False
0.12,1.0,8151ae3d945546ac,340,11,62,False
0.12,1.0,8151ae3d945546ac,341,11,62,False
0.12,1.0,8151ae3d945546ac,342,11,62,False
0.12,1.0,8151ae3d945546ac,343,11,62,False
0.12,1.0,8151ae3d945546ac,344,12,62,False
0.12,1.0,8151ae3d945546ac,345,12,62,False
0.12,1.0,8151ae3d945546ac,346,12,62,False
0.12,1.0,8151ae3d945546ac,347,12,62,False
0.12,1.0,8151ae3d945546ac,348,12,63,False
0.12,1.0,8151ae3d945546ac,349,12,63,False
0.12,1.0,8151ae3d945546ac,350,12,63,False
0.12,1.0,8151ae3d945546ac,351,12,63,False
0.12,1.0,8151ae3d945546ac,352,12,63,False
0.12,1.0,8151ae3d945546ac,353,13,63,False
0.12,1.0,8151ae3d945546ac,354,13,63,False
0.12,1.0,8151ae3d945546ac,355,13,63,False
0.12,1.0,8151ae3d945546ac,356,13,63,False
0.12,1.0,8151ae3d945546ac,357,13,64,False
0.12,1.0,8151ae3d945546ac,358,13,64,False
0.12,1.0,8151ae3d945546ac,359,13,64,False
0.12,1.0,8151ae3d945546ac,360,13,64,False
0.12,1.0,8151ae3d945546ac,361,13,64,False
0.12,1.0,8151ae3d945546ac,362,14,64,False
0.12,1.0,8151ae3d945546ac,363,14,64,False
0.12,1.0,8151ae3d945546ac,364,14,64,False
0.12,1.0,8151ae3d945546ac,365,14,64,False
0.12,1.0,8151ae3d945546ac,366,14,65,False
0.12,1.0,8151ae3d945546ac,367,14,65,False
0.12,1.0,8151ae3d945546ac,368,14,65,False
0.12,1.0,8151ae3d945546ac,369,14,65,False
0.12,1.0,8151ae3d945546ac,370,14,65,False
0.12,1.0,8151ae3d945546ac,371,15,65,False
0.12,1.0,8151ae3d945546ac,372,15,65,False
0.12,1.0,8151ae3d945546ac,373,15,65,False
0.12,1.0,8151ae3d945546ac,374,15,65,False
0.12,1.0,8151ae3d945546ac,375,15,66,False
0.12,1.0,8151ae3d945546ac,376,15,66,False
0.12,1.0,8151ae3d945546ac,377,15,66,False
0.12,1.0,8151ae3d945546ac,378,15,66,False
0.12,1.0,8151ae3d945546ac,379,15,66,False
0.12,1.0,8151ae3d945546ac,380,16,66,False
0.12,1.0,8151ae3d945546ac,381,16,66,False
0.12,1.0,8151ae3d945546ac,382,16,66,False
0.12,1.0,8151ae3d945546ac,383,16,66,False
0.12,1.0,8151ae3d945546ac,384,16,67,False
0.12,1.0,8151ae3d945546ac,385,16,67,False
0.12,1.0,8151ae3d945546ac,386,16,67,False
0.12,1.0,8151ae3d945546ac,387,16,67,False
0.12,1.0,8151ae3d945546ac,388,16,67,False
0.12,1.0,8151ae3d945546ac,389,17,67,False
0.12,1.0,8151ae3d945546ac,390,17,67,False
0.12,1.0,8151ae3d945546ac,391,17,67,False
0.12,1.0,8151ae3d945546ac,392,17,67,False
0.12,1.0,8151ae3d945546ac,393,17,68,False
0.12,1.0,8151ae3d945546ac,394,17,68,False
0.12,1.0,8151ae3d945546ac,395,17,68,False
0.12,1.0,8151ae3d945546ac,396,17,68,False
0.12,1.0,8151ae3d945546ac,397,17,68,False
0.12,1.0,8151ae3d945546ac,398,18,68,False
0.12,1.0,8151ae3d945546ac,399,18,68,False
0.12,1.0,8151ae3d945546ac,400,18,68,False
0.12,1.0,8151ae3d945546ac,401,18,68,False
0.12,1.0,8151ae3d945546ac,402,18,68,False
0.12,1.0,8151ae3d945546ac,403,18,69,False
0.12,1.0,8151ae3d945546ac,404,18,69,False
0.12,1.0,8151ae3d945546ac,405,18,69,False
0.12,1.0,8151ae3d945546ac,406,18,69,False
0.12,1.0,8151ae3d945546ac,407,19,69,False
0.12,1.0,8151ae3d945546ac,408,19,69,False
0.12,1.0,8151ae3d945546ac,409,19,69,False
0.12,1.0,8151ae3d945546ac,410,19,69,False
0.12,1.0,8151ae3d945546ac,411,19,69,False
0.12,1.0,8151ae3d945546ac,412,19,70,False
0.12,1.0,8151ae3d945546ac,413,19,70,False
0.12,1.0,8151ae3d945546ac,414,19,70,False
0.12,1.0,8151ae3d945546ac,415,19,70,False
0.12,1.0,8151ae3d945546ac,416,20,70,False
0.12,1.0,8151ae3d945546ac,417,20,70,False
0.12,1.0,8151ae3d945546ac,418,20,70,False
0.12,1.0,8151ae3d945546ac,419,20,70,False
0.12,1.0,8151ae3d945546ac,420,20,70,False
0.12,1.0,8151ae3d945546ac,421,20,71,False
0.12,1.0,8151ae3d945546ac,422,20,71,False
0.12,1.0,8151ae3d945546ac,423,20,71,False
0.12,1.0,8151ae3d945546ac,424,20,71,False
0.12,1.0,8151ae3d945546ac,425,20,71,False
0.12,1.0,8151ae3d945546ac,426,21,71,False
0.12,1.0,8151ae3d945546ac,427,21,71,False
0.12,1.0,8151ae3d945546ac,428,21,71,False
0.12,1.0,8151ae3d945546ac,429,21,71,False
0.12,1.0,8151ae3d945546ac,430,21,72,False
0.12,1.0,8151ae3d945546ac,431,21,72,False
0.12,1.0,8151ae3d945546ac,432,21,72,False
0.12,1.0,8151ae3d945546ac,433,21,72,False
0.12,1.0,8151ae3d945546ac,434,21,72,False
0.12,1.0,8151ae3d945546ac,435,22,72,False
0.12,1.0,8151ae3d945546ac,436,22,72,False
0.12,1.0,8151ae3d945546ac,437,22,72,False
0.12,1.0,8151ae3d945546ac,438,22,72,False
0.12,1.0,8151ae3d945546ac,439,22,73,False
0.12,1.0,8151ae3d945546ac,440,22,73,False
0.12,1.0,8151ae3d945546ac,441,22,73,False
0.12,1.0,8151ae3d945546ac,442,22,73,False
0.12,1.0,8151ae3d945546ac,443,22,73,False
0.12,1.0,8151ae3d945546ac,444,23,73,False
0.12,1.0,8151ae3d945546ac,445,23,73,False
0.12,1.0,8151ae3d945546ac,446,23,73,False
0.12,1.0,8151ae3d945546ac,447,23,73,False
0.12,1.0,8151ae3d945546ac,448,23,74,False
0.12,1.0,8151ae3d945546ac,449,23,74,False
0.12,1.0,8151ae3d945546ac,450,23,74,False
0.12,1.0,8151ae3d945546ac,451,23,74,False
0.12,1.0,8151ae3d945546ac,452,23,74,False
0.12,1.0,8151ae3d945546ac,453,24,74,False
0.12,1.0,8151ae3d945546ac,454,24,74,False
0.12,1.0,8151ae3d945546ac,455,24,74,False
0.12,1.0,8151ae3d945546ac,456,24,74,False
0.12,1.0,8151ae3d945546ac,457,24,75,False
0.12,1.0,8151ae3d945546ac,458,24,75,False
0.12,1.0,8151ae3d945546ac,459,24,75,False
0.12,1.0,8151ae3d945546ac,460,24,75,False
0.12,1.0,8151ae3d945546ac,461,24,75,False
0.12,1.0,8151ae3d945546ac,462,25,75,False
0.12,1.0,8151ae3d945546ac,463,25,75,False
0.12,1.0,8151ae3d945546ac,464,25,75,False
0.12,1.0,8151ae3d945546ac,465,25,75,False
0.12,1.0,8151ae3d945546ac,466,25,76,False
0.12,1.0,8151ae3d945546ac,467,25,76,False
0.12,1.0,8151ae3d945546ac,468,25,76,False
0.12,1.0,8151ae3d945546ac,469,25,76,False
0.12,1.0,8151ae3d945546ac,470,25,76,False
0.12,1.0,8151ae3d945546ac,471,26,76,False
0.12,1.0,8151ae3d945546ac,472,26,76,False
0.12,1.0,8151ae3d945546ac,473,26,76,False
0.12,1.0,8151ae3d945546ac,474,26,76,False
0.12,1.0,8151ae3d945546ac,475,26,77,False
0.12,1.0,8151ae3d945546ac,476,26,77,False
0.12,1.0,8151ae3d945546ac,477,26,77,False
0.12,1.0,8151ae3d945546ac,478,26,77,False
0.12,1.0,8151ae3d945546ac,479,26,77,False
0.12,1.0,8151ae3d945546ac,480,27,77,False
0.12,1.0,8151ae3d945546ac,481,27,77,False
0.12,1.0,8151ae3d945546ac,482,27,77,False
0.12,1.0,8151ae3d945546ac,483,27,77,False
0.12,1.0,8151ae3d945546ac,484,27,77,False
0.12,1.0,8151ae3d945546ac,485,27,78,False
0.12,1.0,8151ae3d945546ac,486,27,78,False
0.12,1.0,8151ae3d945546ac,487,27,78,False
0.12,1.0,8151ae3d945546ac,488,27,78,False
0.12,1.0,8151ae3d945546ac,489,28,78,False
0.12,1.0,8151ae3d945546ac,490,28,78,False
0.12,1.0,8151ae3d945546ac,491,28,78,False
0.12,1.0,8151ae3d945546ac,492,28,78,False
0.12,1.0,8151ae3d945546ac,493,28,78,False
0.12,1.0,8151ae3d945546ac,494,28,79,False
0.12,1.0,8151ae3d945546ac,495,28,79,False
0.12,1.0,8151ae3d945546ac,496,28,79,False
0.12,1.0,8151ae3d945546ac,497,28,79,False
0.12,1.0,8151ae3d945546ac,498,29,79,False
0.12,1.0,8151ae3d945546ac,499,29,79,False
0.12,1.0,8151ae3d945546ac,500,29,79,False
0.12,1.0,8151ae3d945546ac,501,29,79,False
0.12,1.0,8151ae3d945546ac,502,29,79,False
0.12,1.0,8151ae3d945546ac,503,29,80,False
0.12,1.0,8151ae3d945546ac,504,29,80,False
0.12,1.0,8151ae3d945546ac,505,29,80,False
0.12,1.0,8151ae3d945546ac,506,29,80,False
0.12,1.0,8151ae3d945546ac,507,29,80,False
0.12,1.0,8151ae3d945546ac,508,30,80,False
0.12,1.0,8151ae3d945546ac,509,30,80,False
0.12,1.0,8151ae3d945546ac,510,30,80,False
0.12,1.0,8151ae3d945546ac,511,30,80,False
0.12,1.0,8151ae3d945546ac,512,30,81,False
0.12,1.0,8151ae3d945546ac,513,30,81,False
0.12,1.0,8151ae3d945546ac,514,30,81,False
0.12,1.0,8151ae3d945546ac,515,30,81,False
0.12,1.0,8151ae3d945546ac,516,30,81,False
0.12,1.0,8151ae3d945546ac,517,31,81,False
0.12,1.0,8151ae3d945546ac,518,31,81,False
0.12,1.0,8151ae3d945546ac,519,31,81,False
0.12,1.0,8151ae3d945546ac,520,31,81,False
0.12,1.0,8151ae3d945546ac,521,31,82,False
0.12,1.0,8151ae3d945546ac,522,31,82,False
0.12,1.0,8151ae3d945546ac,523,31,82,False
0.12,1.0,8151ae3d945546ac,524,31,82,False
0.12,1.0,8151ae3d945546ac,525,31,82,False
